cups	∪︀	\cup
Qopf	ℚ	\rationals
Barv	⫧	\not_defined
Otilde	Õ	\Otilde
Topf	𝕋	\not_defined
Uopf	𝕌	\not_defined
oS	Ⓢ	\circledS
para	¶	\paragraphmark
subedot	⫃	\not_defined
drcrop	⌌	\not_defined
hearts	♥	\not_defined
plustwo	⨧	\not_defined
gla	⪥	\not_defined
utilde	ũ	\utilde
urcrop	⌎	\not_defined
NotPrecedesSlantEqual	⋠	\npreccurlyeq
bigotimes	⨂	\bigotimes
zopf	𝕫	\not_defined
LeftVector	↼	\leftharpoonup
geq	≥	\geq
yopf	𝕪	\not_defined
checkmark	✓	\checkmark
leq	≤	\leq
scnE	⪶	\succneqq
Conint	∯	\oiint
RightVector	⇀	\rightharpoonup
boxDL	╗	\not_defined
ffllig	ﬄ	\fflligature
bowtie	⋈	\bowtie
nrightarrow	↛	\nrightarrow
b.piv	𝛡	\not_defined
UpArrowDownArrow	⇅	\updownarrows
blk12	▒	\not_defined
veeeq	≚	\veeeq
Zopf	ℤ	\integers
Xopf	𝕏	\not_defined
Yopf	𝕐	\not_defined
blk34	▓	\not_defined
Itilde	Ĩ	\Itilde
bopf	𝕓	\not_defined
copf	𝕔	\not_defined
nearhk	⤤	\rhooknearrow
aopf	𝕒	\not_defined
fopf	𝕗	\not_defined
PartialD	∂	\partial
dopf	𝕕	\not_defined
Atilde	Ã	\Atilde
jopf	𝕛	\not_defined
Rrightarrow	⇛	\Rrightarrow
hopf	𝕙	\not_defined
iopf	𝕚	\not_defined
nopf	𝕟	\not_defined
oopf	𝕠	\not_defined
lopf	𝕝	\not_defined
mopf	𝕞	\not_defined
ropf	𝕣	\not_defined
smashp	⨳	\not_defined
popf	𝕡	\not_defined
Succeeds	≻	\succ
vopf	𝕧	\not_defined
wopf	𝕨	\not_defined
topf	𝕥	\not_defined
uopf	𝕦	\not_defined
Auml	Ä	\Adiaeresis
barwedge	⌅	\not_defined
nhArr	⇎	\nLeftrightarrow
upsi	υ	\greekupsilon
b.mu	𝛍	\not_defined
xhArr	⟺	\Longleftrightarrow
minus	−	\not_defined
Ouml	Ö	\Odiaeresis
